id,tokens,slots,intent
0,i want to update my cgpa to 9,o o o o o attr_name o attr_newval,update_attribute
1,i want to submit a request to update my cgpa to 9,o o o o o o o o o attr_name o attr_newval,update_attribute
2,please update my cgpa to 9,o o o attr_name o attr_newval,update_attribute
3,my cgpa has changed to 9,o attr_name o o o attr_newval,update_attribute
4,set my cgpa as 9,o o attr_name o attr_newval,update_attribute
5,change my cgpa to 9,o o attr_name o attr_newval,update_attribute
6,increase my cgpa by 1,o o attr_name o attr_incval,inc_attr
7,add 1 to my cgpa,o attr_incval o o attr_name,inc_attr
8,cgpa has improved by 1,attr_name o o o attr_incval,inc_attr
9,i got an increase of 1 in my cgpa,o o o o o attr_incval o o attr_name,inc_attr
10,decrease my cgpa by 1,o o attr_name o attr_incval,dec_attr
11,subtract 1 from my cgpa,o attr_incval o o attr_name,dec_attr
12,cgpa has deteriorated by 1,attr_name o o o attr_incval,dec_attr
13,cgpa has fallen by 1,attr_name o o o attr_incval,dec_attr
14,i got a decrease of 1 in my cgpa,o o o o o attr_incval o o attr_name,dec_attr
15,i participated in an internship,o o o o o,internship
16,i got an internship,o o o o,internship
17,i recently interned at a company,o o o o o o,internship
18,i was blessed with the opportunity to intern with a company,o o o o o o o o o o o,internship
19,i worked as an intern,o o o o o,internship
20,i participated in a hackathon,o o o o attr_name,participated_hack
21,i lost a hackathon,o o o o,participated_hack
22,i tried my best and worked tirelessly but lost a hackathon,o o o o o o o o o o o,participated_hack
23,i won a hackathon,o o o o,won_hack
24,i was declared winner in a hackathon,o o o o o o o,won_hack
25,i stood on the top step of the podium of a hackathon,o o o o o o o o o o o o,won_hack
26,i won the first place award at a hackathon,o o o o o o o o o,won_hack
27,i learnt a new technology,o o o o o,learnt_tech
28,i learnt 2 new technologies,o o attr_incval o o,learnt_tech
29,i am confident in 2 more technologies,o o o o attr_incval o o,learnt_tech
30,i now know another technology,o o o o o,learnt_tech
31,send me my report,o o o o,send_report
32,fetch my report,o o o,send_report
33,i want my report,o o o o,send_report
34,send me a summary of my progress,o o o o o o o,send_report
35,i want to see my report,o o o o o o,send_report
36,show me my report,o o o o,send_report
37,i want to update my cgpa to 1,o o o o o attr_name o attr_newval,update_attribute
38,i want to update my cgpa to 2,o o o o o attr_name o attr_newval,update_attribute
39,i want to update my cgpa to 3,o o o o o attr_name o attr_newval,update_attribute
40,i want to update my cgpa to 4,o o o o o attr_name o attr_newval,update_attribute
41,i want to update my cgpa to 5,o o o o o attr_name o attr_newval,update_attribute
42,i want to update my cgpa to 6,o o o o o attr_name o attr_newval,update_attribute
43,i want to update my cgpa to 7,o o o o o attr_name o attr_newval,update_attribute
44,i want to update my cgpa to 8,o o o o o attr_name o attr_newval,update_attribute
45,i want to update my cgpa to 9,o o o o o attr_name o attr_newval,update_attribute
